Age,Generation,Gender,Income_kUSD,Occupation,Drinks_Per_Week,Social_Setting,Taste_Preference,Alcohol_Tolerance,Price_Sensitivity,Preferred_Drink,Support_Local_Store,Purchase_Frequency,Monthly_Spend_USD,Purchase_Channel,Drinking_Occasion,Brand_Loyalty,Access_Problems,Health_Score
33.0,Millennial,Female,63.11,Entrepreneur,2.0,Restaurant,Salty,1.28,Medium,Spirits,Yes,Monthly,419.13,Offline,Social,Medium,Limited Variety,3.5
27.0,Millennial,Male,19.27,Professional,2.0,Home,Neutral,1.73,Medium,Wine,Yes,Monthly,49.26,Both,Stress Relief,Medium,Location,4.3
56.0,Gen X,Female,45.7,Other,1.0,Bar,Bitter,0.61,High,Other,Yes,Monthly,272.2,Offline,Celebration,Low,Limited Variety,4.5
65.0,Baby Boomer,Male,55.54,Student,0.0,Social Event,Sweet,1.51,Low,Spirits,No,Rarely,214.04,Online,Celebration,High,Limited Variety,5.0
40.0,Millennial,Female,83.29,Retired,1.0,Other,Sweet,2.24,High,Beer,Yes,Monthly,334.34,Online,Daily Habit,Low,Expensive,4.9
21.0,Gen Z,Other,64.49,Other,3.0,Other,Sour,0.93,Medium,Cider,Yes,Weekly,219.64,Online,Social,Medium,Location,4.4
28.0,Millennial,Male,32.71,Other,1.0,Bar,Bitter,1.35,Medium,Cocktails,No,Monthly,214.29,Online,Celebration,Medium,No Problems,3.8
36.0,Millennial,Other,83.91,Other,1.0,Social Event,Bitter,2.38,Low,Cider,Yes,Monthly,325.79,Offline,Celebration,High,No Problems,2.9
34.0,Millennial,Male,50.88,Student,0.0,Social Event,Salty,1.36,Medium,Beer,No,Rarely,117.61,Offline,Celebration,Medium,Expensive,5.0
32.0,Millennial,Female,44.88,Entrepreneur,2.0,Social Event,Sweet,1.22,Medium,Wine,Yes,Monthly,66.07,Offline,Celebration,Medium,Limited Variety,4.1
43.0,Gen X,Female,43.46,Student,3.0,Social Event,Salty,1.38,Medium,Beer,Yes,Weekly,324.06,Offline,Celebration,Medium,No Problems,3.4
35.0,Millennial,Female,17.53,Entrepreneur,4.0,Other,Bitter,1.54,Low,Other,No,Weekly,392.64,Both,Daily Habit,High,Location,3.0
48.0,Gen X,Female,47.8,Other,2.0,Home,Sour,1.76,Medium,Other,No,Monthly,678.92,Online,Stress Relief,Medium,Location,3.4
54.0,Gen X,Female,59.95,Other,3.0,Social Event,Sweet,2.1,Low,Other,No,Weekly,360.62,Offline,Celebration,High,No Problems,3.8
22.0,Gen Z,Male,42.29,Retired,3.0,Home,Bitter,1.4,High,Spirits,No,Weekly,236.58,Both,Stress Relief,Low,No Problems,3.9
52.0,Gen X,Male,58.41,Entrepreneur,2.0,Social Event,Sour,2.13,High,Wine,No,Monthly,457.02,Online,Celebration,Low,Limited Variety,3.4
43.0,Gen X,Female,32.71,Other,3.0,Restaurant,Neutral,1.57,Low,Other,Yes,Weekly,150.11,Online,Social,High,Limited Variety,3.3
42.0,Gen X,Female,47.18,Professional,0.0,Restaurant,Bitter,1.18,High,Cocktails,Yes,Rarely,227.63,Both,Social,Low,Expensive,4.9
45.0,Gen X,Female,56.33,Retired,2.0,Restaurant,Neutral,1.82,High,Cocktails,No,Monthly,511.38,Offline,Social,Low,Location,3.7
42.0,Gen X,Female,53.79,Student,2.0,Social Event,Salty,1.94,Medium,Beer,No,Monthly,614.87,Offline,Celebration,Medium,Expensive,3.4
42.0,Gen X,Male,17.89,Retired,4.0,Home,Neutral,1.62,Medium,Other,No,Weekly,157.12,Online,Stress Relief,Medium,Expensive,3.0
62.0,Baby Boomer,Female,41.22,Professional,2.0,Other,Bitter,0.61,Medium,Spirits,Maybe,Monthly,230.43,Offline,Social,Medium,Limited Variety,4.1
26.0,Millennial,Male,83.55,Entrepreneur,2.0,Bar,Neutral,0.84,Medium,Cocktails,Yes,Monthly,333.39,Online,Celebration,Medium,Expensive,3.7
35.0,Millennial,Female,40.15,Student,2.0,Other,Sweet,1.07,Medium,Cider,No,Monthly,1288.0818779074614,Online,Celebration,Medium,Location,3.5
63.0,Baby Boomer,Male,50.32,Student,2.0,Social Event,Bitter,1.07,Medium,Wine,Yes,Monthly,1753.7094205279768,Offline,Celebration,Medium,Location,4.2
57.0,Baby Boomer,Male,48.26,Entrepreneur,1.0,Restaurant,Sour,1.85,Medium,Cider,No,Monthly,293.87,Offline,Social,Medium,Limited Variety,4.1
53.0,Gen X,Male,81.36,Retired,2.0,Restaurant,Neutral,0.54,Low,Cocktails,No,Monthly,795.15,Offline,Social,High,Limited Variety,3.8
28.0,Millennial,Male,75.81,Other,3.0,Home,Sweet,2.01,High,Cocktails,Yes,Weekly,383.56,Online,Stress Relief,Low,No Problems,3.3
64.0,Baby Boomer,Female,66.15,Retired,1.0,Social Event,Salty,1.03,Medium,Beer,No,Monthly,707.06,Online,Celebration,Medium,Expensive,5.0
64.0,Baby Boomer,Male,30.54,Professional,3.0,Other,Salty,1.12,Medium,Beer,No,Weekly,201.61,Offline,Celebration,Medium,Location,3.1
25.0,Millennial,Male,57.18,Other,3.0,Social Event,Neutral,1.56,High,Other,Yes,Weekly,427.68,Online,Celebration,Low,No Problems,4.4
59.0,Baby Boomer,Male,61.36,Retired,1.0,Social Event,Salty,0.93,Medium,Wine,No,Monthly,1212.5615335705334,Both,Celebration,Medium,Limited Variety,4.9
24.0,Gen Z,Male,36.03,Entrepreneur,1.0,Restaurant,Sour,2.27,Medium,Other,No,Monthly,54.33,Online,Social,Medium,Limited Variety,5.0
26.0,Millennial,Male,32.59,Professional,4.0,Other,Bitter,0.67,High,Beer,No,Weekly,468.19,Online,Social,Low,No Problems,3.3
65.0,Baby Boomer,Male,84.1,Professional,2.0,Bar,Sweet,1.39,High,Spirits,Yes,Monthly,752.41,Online,Celebration,Low,Expensive,3.9
52.0,Gen X,Female,43.98,Professional,1.0,Restaurant,Neutral,2.2,Low,Wine,No,Monthly,193.62,Offline,Social,High,Location,4.0
50.0,Gen X,Female,82.3,Other,1.0,Other,Salty,1.73,Medium,Spirits,Maybe,Monthly,431.26,Both,Celebration,Medium,Limited Variety,4.3
55.0,Gen X,Female,69.94,Student,0.0,Home,Bitter,1.08,High,Other,Yes,Rarely,375.57,Online,Stress Relief,Low,Expensive,5.0
60.0,Baby Boomer,Male,58.16,Other,2.0,Restaurant,Sour,1.34,Medium,Beer,No,Monthly,164.81,Both,Social,Medium,No Problems,4.0
36.0,Millennial,Male,59.05,Retired,3.0,Home,Salty,1.91,Medium,Wine,Yes,Weekly,342.65,Online,Stress Relief,Medium,No Problems,3.8
33.0,Millennial,Female,21.99,Student,2.0,Restaurant,Salty,2.45,Low,Other,Yes,Monthly,202.47,Both,Social,High,Location,4.1
62.0,Baby Boomer,Female,54.14,Retired,1.0,Social Event,Sweet,2.29,Low,Cocktails,No,Monthly,146.54,Offline,Celebration,High,Expensive,4.6
50.0,Gen X,Male,78.34,Student,1.0,Other,Sour,1.18,Medium,Other,No,Monthly,459.75,Both,Daily Habit,Medium,Expensive,4.6
39.0,Millennial,Male,63.63,Other,4.0,Home,Sour,2.5,Medium,Cider,Maybe,Weekly,298.16,Offline,Stress Relief,Medium,Location,3.2
37.0,Millennial,Male,53.09,Professional,1.0,Restaurant,Neutral,0.51,High,Cocktails,No,Monthly,339.7,Offline,Social,Low,Expensive,4.1
39.0,Millennial,Male,84.24,Entrepreneur,1.0,Home,Sweet,0.56,Medium,Spirits,Maybe,Monthly,419.35,Online,Stress Relief,Medium,Location,4.4
48.0,Gen X,Male,46.3,Professional,3.0,Restaurant,Neutral,2.15,Low,Cocktails,Yes,Weekly,156.09,Online,Social,High,Location,3.7
46.0,Gen X,Female,37.61,Other,1.0,Restaurant,Sweet,0.9,Low,Other,Yes,Monthly,341.21,Both,Social,High,Location,4.6
57.0,Baby Boomer,Female,53.08,Student,1.0,Bar,Sour,0.62,High,Cocktails,No,Monthly,186.3,Offline,Celebration,Low,Limited Variety,4.3
46.0,Gen X,Female,65.33,Professional,3.0,Bar,Sweet,0.97,Medium,Cider,No,Weekly,329.37,Offline,Celebration,Medium,Limited Variety,3.7
43.0,Gen X,Female,15.64,Other,2.0,Bar,Sweet,1.35,Medium,Other,No,Monthly,107.01,Both,Celebration,Medium,Expensive,3.6
29.0,Millennial,Female,55.7,Retired,2.0,Home,Sweet,1.96,High,Cider,No,Monthly,612.25,Online,Stress Relief,Low,Expensive,3.4
32.0,Millennial,Female,66.21,Entrepreneur,2.0,Social Event,Bitter,1.75,Medium,Cocktails,Yes,Monthly,246.6,Both,Celebration,Medium,Limited Variety,4.1
21.0,Gen Z,Female,44.61,Professional,2.0,Restaurant,Bitter,0.98,Low,Cider,Maybe,Monthly,284.76,Both,Social,High,Location,3.4
21.0,Gen Z,Male,72.14,Student,3.0,Other,Sour,1.51,High,Cocktails,Yes,Weekly,675.78,Offline,Social,Low,Location,3.6
54.0,Gen X,Male,62.82,Retired,3.0,Bar,Sweet,2.35,High,Wine,Maybe,Weekly,671.61,Both,Celebration,Low,Location,2.5
52.0,Gen X,Male,92.83,Other,5.0,Home,Sour,2.13,Low,Cocktails,Yes,Weekly,1143.49,Online,Stress Relief,High,No Problems,2.1
45.0,Gen X,Female,34.99,Entrepreneur,1.0,Home,Bitter,1.15,High,Beer,No,Monthly,147.58,Online,Stress Relief,Low,Expensive,4.3
60.0,Baby Boomer,Female,66.61,Student,3.0,Home,Sweet,2.46,Medium,Cider,Yes,Weekly,332.92,Offline,Stress Relief,Medium,Expensive,2.7
65.0,Baby Boomer,Male,29.65,Other,1.0,Other,Neutral,1.92,Medium,Cider,Yes,Monthly,156.86,Offline,Daily Habit,Medium,Limited Variety,4.3
21.0,Gen Z,Female,17.69,Other,0.0,Other,Bitter,0.62,High,Spirits,Yes,Rarely,42.94,Both,Social,Low,Location,5.0
36.0,Millennial,Male,9.29,Professional,2.0,Bar,Bitter,0.57,High,Spirits,No,Monthly,13.34,Both,Celebration,Low,Limited Variety,3.4
59.0,Baby Boomer,Female,60.77,Professional,3.0,Other,Bitter,0.84,Low,Beer,No,Weekly,571.48,Offline,Celebration,High,No Problems,3.3
25.0,Millennial,Male,53.68,Student,1.0,Bar,Sweet,1.96,Low,Cider,Yes,Monthly,427.46,Online,Celebration,High,Location,5.0
42.0,Gen X,Male,40.42,Other,4.0,Other,Salty,0.87,Low,Cider,Yes,Weekly,114.52,Both,Daily Habit,High,No Problems,2.5
49.0,Gen X,Female,14.53,Professional,1.0,Other,Neutral,1.52,Medium,Spirits,No,Monthly,44.44,Offline,Celebration,Medium,No Problems,5.0
23.0,Gen Z,Male,36.19,Entrepreneur,0.0,Other,Neutral,0.69,Low,Spirits,Yes,Rarely,204.63,Online,Celebration,High,Expensive,4.9
32.0,Millennial,Male,50.08,Entrepreneur,2.0,Bar,Sour,2.34,Medium,Cocktails,No,Monthly,867.16,Online,Celebration,Medium,Limited Variety,4.1
46.0,Gen X,Male,65.86,Other,0.0,Restaurant,Sweet,1.19,Low,Other,No,Rarely,276.1,Both,Social,High,Location,5.0
36.0,Millennial,Female,49.67,Professional,4.0,Bar,Bitter,2.32,Medium,Cider,Yes,Weekly,318.7,Offline,Celebration,Medium,Expensive,2.8
57.0,Baby Boomer,Female,55.04,Student,1.0,Restaurant,Salty,2.39,Low,Cider,Yes,Monthly,254.54,Offline,Social,High,Limited Variety,4.8
42.0,Gen X,Male,42.48,Student,2.0,Home,Sweet,0.51,High,Cocktails,No,Monthly,522.86,Both,Stress Relief,Low,Location,4.4
49.0,Gen X,Female,84.98,Student,1.0,Home,Sweet,1.43,Low,Cider,Maybe,Monthly,311.78,Offline,Stress Relief,High,Limited Variety,4.2
34.0,Millennial,Female,29.64,Entrepreneur,1.0,Bar,Salty,0.55,Medium,Beer,Maybe,Monthly,100.72,Online,Celebration,Medium,Location,4.1
48.0,Gen X,Male,36.02,Professional,1.0,Restaurant,Bitter,2.32,High,Spirits,No,Monthly,143.39,Both,Social,Low,Location,4.4
25.0,Millennial,Male,40.15,Professional,2.0,Restaurant,Sweet,1.54,Medium,Spirits,No,Monthly,154.29,Online,Social,Medium,Expensive,3.9
50.0,Gen X,Male,60.85,Entrepreneur,1.0,Restaurant,Neutral,0.65,Low,Other,No,Monthly,327.86,Both,Social,High,Limited Variety,4.0
25.0,Millennial,Male,29.22,Student,2.0,Home,Neutral,0.72,Low,Spirits,No,Monthly,407.5,Both,Stress Relief,High,Limited Variety,3.7
32.0,Millennial,Female,52.71,Student,3.0,Bar,Salty,1.27,Medium,Wine,Yes,Weekly,468.34,Offline,Celebration,Medium,Location,1.8
36.0,Millennial,Male,53.3,Other,4.0,Social Event,Bitter,2.38,Medium,Beer,Yes,Weekly,433.81,Both,Celebration,Medium,Expensive,2.8
46.0,Gen X,Female,36.11,Retired,2.0,Restaurant,Salty,1.89,Medium,Beer,No,Monthly,193.16,Both,Social,Medium,No Problems,4.4
46.0,Gen X,Female,56.6,Professional,2.0,Restaurant,Sweet,2.24,Medium,Cocktails,No,Monthly,160.33,Both,Social,Medium,Limited Variety,3.2
41.0,Gen X,Male,29.84,Professional,3.0,Social Event,Neutral,1.23,Medium,Wine,Yes,Weekly,350.81,Offline,Celebration,Medium,Expensive,3.3
59.0,Baby Boomer,Female,27.66,Professional,3.0,Bar,Sour,0.59,Medium,Cider,No,Weekly,201.12,Online,Celebration,Medium,Limited Variety,4.7
56.0,Gen X,Male,51.99,Retired,2.0,Restaurant,Salty,2.45,Medium,Other,Yes,Monthly,294.02,Offline,Social,Medium,Limited Variety,4.0
53.0,Gen X,Other,16.8,Other,3.0,Bar,Sour,0.53,High,Beer,Maybe,Weekly,626.9,Offline,Celebration,Low,Limited Variety,4.2
50.0,Gen X,Female,7.1,Retired,1.0,Restaurant,Sour,2.4,Low,Wine,Yes,Monthly,41.78,Offline,Social,High,Location,4.0
57.0,Baby Boomer,Female,60.66,Student,4.0,Other,Neutral,1.24,Medium,Wine,Yes,Weekly,384.61,Offline,Social,Medium,Limited Variety,3.2
43.0,Gen X,Female,70.98,Student,0.0,Restaurant,Salty,0.52,Low,Beer,Yes,Rarely,237.95,Offline,Social,High,Expensive,4.4
30.0,Millennial,Male,40.66,Professional,5.0,Other,Sour,1.88,Medium,Cocktails,Yes,Weekly,814.29,Offline,Daily Habit,Medium,Expensive,2.7
25.0,Millennial,Female,36.64,Entrepreneur,2.0,Bar,Sweet,2.46,High,Wine,Yes,Monthly,240.0,Online,Celebration,Low,Location,4.4
56.0,Gen X,Female,70.11,Professional,1.0,Restaurant,Bitter,2.43,Medium,Spirits,No,Monthly,173.08,Both,Social,Medium,Limited Variety,4.8
54.0,Gen X,Female,27.09,Entrepreneur,1.0,Home,Bitter,0.82,High,Wine,No,Monthly,217.38,Offline,Stress Relief,Low,Expensive,4.3
51.0,Gen X,Female,22.73,Retired,1.0,Home,Neutral,0.86,Medium,Cider,No,Monthly,82.47,Online,Stress Relief,Medium,No Problems,4.6
30.0,Millennial,Female,64.15,Student,2.0,Social Event,Salty,1.63,High,Beer,No,Monthly,1013.05,Online,Celebration,Low,Expensive,4.1
39.0,Millennial,Male,50.18,Entrepreneur,1.0,Home,Salty,1.77,Medium,Cider,Maybe,Monthly,436.37,Both,Stress Relief,Medium,Location,4.8
52.0,Gen X,Male,71.3,Retired,4.0,Other,Bitter,1.98,Low,Cocktails,Yes,Weekly,526.41,Offline,Celebration,High,Limited Variety,2.9
21.0,Gen Z,Female,7.19,Student,3.0,Home,Sweet,0.86,Low,Other,No,Weekly,103.14,Online,Stress Relief,High,Expensive,4.0
25.0,Millennial,Male,21.99,Entrepreneur,0.0,Home,Bitter,2.42,Medium,Spirits,Yes,Rarely,94.38,Both,Stress Relief,Medium,No Problems,5.0
65.0,Baby Boomer,Female,50.29,Professional,2.0,Home,Bitter,1.78,Low,Beer,No,Monthly,476.77,Offline,Stress Relief,High,Limited Variety,3.8
24.0,Gen Z,Female,58.35,Professional,0.0,Restaurant,Salty,2.19,Medium,Wine,Yes,Rarely,308.49,Both,Social,Medium,Location,5.0
36.0,Millennial,Male,66.94,Professional,0.0,Social Event,Sour,1.58,Medium,Spirits,No,Rarely,181.9,Online,Celebration,Medium,Expensive,4.5
44.0,Gen X,Male,53.5,Retired,2.0,Bar,Sweet,1.33,High,Wine,Yes,Monthly,240.03,Offline,Celebration,Low,Location,4.2
36.0,Millennial,Female,53.29,Professional,3.0,Social Event,Salty,2.45,Medium,Cocktails,No,Weekly,674.23,Both,Celebration,Medium,No Problems,3.7
22.0,Gen Z,Male,42.21,Other,2.0,Other,Bitter,1.66,Medium,Other,Maybe,Monthly,220.99,Offline,Social,Medium,Expensive,4.0
48.0,Gen X,Female,81.82,Student,2.0,Restaurant,Sour,2.23,High,Beer,No,Monthly,413.87,Both,Social,Low,No Problems,4.1
52.0,Gen X,Male,27.94,Retired,1.0,Restaurant,Sweet,2.41,High,Cocktails,Yes,Monthly,87.83,Online,Social,Low,Limited Variety,5.0
47.0,Gen X,Female,57.18,Professional,0.0,Home,Neutral,1.85,Low,Cocktails,No,Rarely,293.2,Offline,Stress Relief,High,Location,3.6
40.0,Millennial,Male,30.24,Student,2.0,Home,Sweet,1.6,Medium,Other,No,Monthly,524.94,Online,Stress Relief,Medium,Limited Variety,3.8
44.0,Gen X,Female,60.7,Entrepreneur,3.0,Other,Sweet,0.51,Medium,Cocktails,Maybe,Weekly,269.08,Online,Social,Medium,No Problems,3.3
32.0,Millennial,Male,29.26,Professional,3.0,Restaurant,Bitter,0.58,Medium,Cocktails,No,Weekly,223.9,Online,Social,Medium,Expensive,4.2
55.0,Gen X,Female,64.88,Student,3.0,Bar,Bitter,0.9,Medium,Wine,No,Weekly,993.76,Online,Celebration,Medium,Expensive,3.7
53.0,Gen X,Male,52.24,Other,3.0,Social Event,Neutral,0.87,High,Cider,Maybe,Weekly,379.51,Both,Celebration,Low,No Problems,3.7
53.0,Gen X,Female,84.89,Entrepreneur,0.0,Restaurant,Neutral,1.01,Medium,Wine,No,Rarely,441.59,Online,Social,Medium,Location,5.0
63.0,Baby Boomer,Female,44.38,Other,1.0,Bar,Neutral,1.11,Medium,Other,No,Monthly,132.22,Offline,Celebration,Medium,Expensive,4.4
57.0,Baby Boomer,Male,58.5,Student,2.0,Bar,Salty,1.22,High,Spirits,No,Monthly,448.55,Both,Celebration,Low,Limited Variety,1.0
32.0,Millennial,Male,34.41,Other,1.0,Social Event,Salty,1.34,Low,Other,Yes,Monthly,158.8,Offline,Celebration,High,Location,4.2
23.0,Gen Z,Male,44.24,Student,4.0,Bar,Bitter,0.7,Medium,Other,Yes,Weekly,668.7,Online,Celebration,Medium,Limited Variety,2.5
21.0,Gen Z,Female,52.11,Student,0.0,Other,Bitter,0.58,Medium,Other,No,Rarely,391.47,Both,Social,Medium,Expensive,5.0
53.0,Gen X,Female,19.46,Other,1.0,Bar,Neutral,1.85,Low,Other,No,Monthly,359.96,Offline,Celebration,High,Location,4.7
60.0,Baby Boomer,Female,21.65,Student,4.0,Other,Salty,1.57,Medium,Cocktails,Yes,Weekly,267.11,Offline,Celebration,Medium,Expensive,3.3
30.0,Millennial,Male,62.0,Professional,1.0,Bar,Sour,1.39,Low,Other,No,Monthly,369.77,Both,Celebration,High,Location,4.0
63.0,Baby Boomer,Male,47.08,Student,2.0,Home,Salty,1.77,High,Spirits,Yes,Monthly,321.14,Both,Stress Relief,Low,No Problems,4.3
64.0,Baby Boomer,Female,38.14,Retired,4.0,Bar,Bitter,2.16,Medium,Other,Yes,Weekly,295.16,Offline,Celebration,Medium,Limited Variety,3.9
49.0,Gen X,Female,35.26,Student,2.0,Other,Salty,1.36,Medium,Wine,Maybe,Monthly,258.49,Offline,Social,Medium,Expensive,3.9
33.0,Millennial,Other,36.03,Retired,3.0,Bar,Bitter,1.78,Medium,Cocktails,Yes,Weekly,234.98,Offline,Celebration,Medium,Expensive,2.9
32.0,Millennial,Male,52.25,Student,1.0,Bar,Neutral,2.41,Low,Wine,No,Monthly,288.05,Online,Celebration,High,Limited Variety,4.6
51.0,Gen X,Female,58.9,Student,2.0,Bar,Neutral,2.18,Low,Cocktails,Yes,Monthly,704.5,Both,Celebration,High,Location,3.5
22.0,Gen Z,Male,8.16,Other,1.0,Other,Neutral,1.35,Medium,Wine,No,Monthly,25.0,Online,Daily Habit,Medium,Limited Variety,3.7
55.0,Gen X,Male,78.26,Professional,3.0,Bar,Sour,1.79,Medium,Beer,No,Weekly,1046.1,Offline,Celebration,Medium,Location,3.1
43.0,Gen X,Female,76.83,Professional,3.0,Social Event,Sour,0.85,Medium,Cider,No,Weekly,1122.15,Both,Celebration,Medium,Limited Variety,3.3
37.0,Millennial,Female,3.39,Entrepreneur,1.0,Social Event,Bitter,1.62,Medium,Cider,No,Monthly,16.19,Offline,Celebration,Medium,Limited Variety,4.0
46.0,Gen X,Other,71.72,Other,3.0,Other,Sweet,2.46,Medium,Cocktails,Yes,Weekly,187.67,Offline,Daily Habit,Medium,Expensive,4.2
28.0,Millennial,Male,71.1,Other,3.0,Home,Sour,1.54,Medium,Beer,No,Weekly,396.64,Online,Stress Relief,Medium,Expensive,4.4
49.0,Gen X,Male,50.01,Professional,3.0,Social Event,Bitter,2.36,Medium,Spirits,No,Weekly,723.12,Both,Celebration,Medium,Expensive,3.8
46.0,Gen X,Female,24.06,Other,2.0,Restaurant,Salty,1.31,Low,Beer,Yes,Monthly,147.23,Offline,Social,High,Limited Variety,5.0
30.0,Millennial,Female,70.3,Professional,0.0,Social Event,Neutral,2.5,Medium,Cocktails,No,Rarely,176.97,Both,Celebration,Medium,No Problems,4.9
46.0,Gen X,Male,45.18,Other,4.0,Restaurant,Neutral,1.66,High,Beer,No,Weekly,324.12,Online,Social,Low,Location,2.6
54.0,Gen X,Male,60.98,Student,1.0,Other,Neutral,0.58,Low,Spirits,No,Monthly,470.46,Both,Celebration,High,Limited Variety,5.0
61.0,Baby Boomer,Male,94.38,Professional,2.0,Home,Bitter,1.67,Medium,Cocktails,No,Monthly,767.81,Both,Stress Relief,Medium,Expensive,4.0
27.0,Millennial,Female,55.04,Professional,2.0,Restaurant,Neutral,1.05,Medium,Cider,No,Monthly,302.31,Online,Social,Medium,Expensive,3.8
24.0,Gen Z,Male,31.66,Retired,1.0,Restaurant,Sour,0.56,Medium,Other,Maybe,Monthly,133.55,Online,Social,Medium,Limited Variety,5.0
65.0,Baby Boomer,Male,43.29,Other,2.0,Social Event,Salty,2.14,Medium,Beer,No,Monthly,220.28,Online,Celebration,Medium,Limited Variety,4.0
31.0,Millennial,Male,34.21,Other,6.0,Restaurant,Neutral,1.05,Low,Cider,No,Weekly,297.13,Both,Social,High,Limited Variety,2.5
49.0,Gen X,Male,58.67,Professional,0.0,Other,Bitter,2.09,Medium,Cider,Yes,Rarely,545.92,Offline,Daily Habit,Medium,Expensive,4.8
56.0,Gen X,Male,33.88,Student,4.0,Other,Salty,1.08,Low,Wine,Yes,Weekly,266.27,Offline,Social,High,Expensive,3.5
45.0,Gen X,Female,40.54,Student,2.0,Other,Neutral,0.89,Medium,Spirits,Yes,Monthly,461.15,Online,Celebration,Medium,Expensive,4.5
41.0,Gen X,Male,24.31,Student,1.0,Social Event,Sweet,2.45,High,Other,No,Monthly,263.59,Online,Celebration,Low,Expensive,5.0
56.0,Gen X,Female,47.36,Other,2.0,Home,Neutral,1.22,Medium,Beer,No,Monthly,482.89,Online,Stress Relief,Medium,Location,3.6
30.0,Millennial,Male,53.54,Retired,4.0,Social Event,Sour,1.7,Low,Cider,Yes,Weekly,398.4,Online,Celebration,High,Limited Variety,3.0
57.0,Baby Boomer,Female,-3.7,Professional,1.0,Other,Salty,1.72,High,Cider,No,Monthly,-22.94,Offline,Social,Low,Limited Variety,5.0
29.0,Millennial,Female,55.19,Entrepreneur,2.0,Social Event,Sour,1.62,High,Spirits,Yes,Monthly,337.49,Both,Celebration,Low,Limited Variety,3.9
44.0,Gen X,Female,49.09,Retired,2.0,Other,Sweet,2.33,Medium,Other,No,Monthly,193.38,Offline,Celebration,Medium,No Problems,4.4
55.0,Gen X,Female,34.7,Entrepreneur,5.0,Bar,Sweet,1.85,Medium,Other,No,Weekly,460.25,Offline,Celebration,Medium,No Problems,1.0
55.0,Gen X,Male,90.57,Retired,1.0,Bar,Sour,1.31,Low,Cider,No,Monthly,254.54,Both,Celebration,High,Location,3.6
56.0,Gen X,Male,69.17,Student,0.0,Restaurant,Salty,2.22,High,Cider,No,Rarely,519.7,Both,Social,Low,Expensive,4.9
38.0,Millennial,Female,28.07,Other,2.0,Home,Sweet,0.86,Medium,Cider,Maybe,Monthly,137.72,Both,Stress Relief,Medium,Limited Variety,4.0
59.0,Baby Boomer,Other,66.76,Entrepreneur,1.0,Bar,Sweet,1.59,High,Cider,Yes,Monthly,374.1,Offline,Celebration,Low,Location,3.6
52.0,Gen X,Female,74.89,Retired,0.0,Other,Neutral,2.4,Medium,Wine,Yes,Rarely,357.99,Online,Celebration,Medium,Expensive,4.8
44.0,Gen X,Female,52.64,Other,1.0,Social Event,Bitter,1.75,Medium,Wine,No,Monthly,234.36,Online,Celebration,Medium,Limited Variety,4.0
43.0,Gen X,Female,57.23,Entrepreneur,1.0,Social Event,Sweet,2.13,High,Other,No,Monthly,388.88,Both,Celebration,Low,No Problems,4.9
52.0,Gen X,Male,56.77,Professional,2.0,Restaurant,Salty,1.81,Medium,Cocktails,No,Monthly,277.11,Online,Social,Medium,Limited Variety,3.1
57.0,Baby Boomer,Male,8.28,Retired,2.0,Social Event,Salty,2.18,Low,Beer,No,Monthly,79.23,Offline,Celebration,High,Expensive,4.9
32.0,Millennial,Female,46.26,Professional,2.0,Bar,Neutral,2.39,Low,Spirits,No,Monthly,146.08,Offline,Celebration,High,Expensive,4.3
33.0,Millennial,Female,45.22,Student,0.0,Social Event,Salty,1.05,Medium,Cocktails,No,Rarely,199.85,Offline,Celebration,Medium,Limited Variety,4.5
43.0,Gen X,Male,78.6,Professional,3.0,Bar,Neutral,0.84,Low,Wine,No,Weekly,1566.63,Offline,Celebration,High,Expensive,4.0
45.0,Gen X,Female,56.67,Professional,1.0,Bar,Sweet,1.47,Medium,Wine,No,Monthly,174.15,Online,Celebration,Medium,Location,4.8
55.0,Gen X,Male,44.05,Retired,1.0,Home,Sweet,1.9,Medium,Wine,Yes,Monthly,159.06,Offline,Stress Relief,Medium,Location,4.5
61.0,Baby Boomer,Female,48.2,Student,3.0,Restaurant,Sweet,0.95,Medium,Cocktails,Maybe,Weekly,471.14,Offline,Social,Medium,Expensive,3.1
50.0,Gen X,Male,70.47,Professional,1.0,Other,Sweet,0.51,Medium,Wine,Yes,Monthly,390.66,Both,Social,Medium,No Problems,4.8
37.0,Millennial,Male,46.31,Other,0.0,Bar,Bitter,1.19,High,Cocktails,No,Rarely,228.95,Both,Celebration,Low,Limited Variety,5.0
40.0,Millennial,Female,36.04,Entrepreneur,1.0,Restaurant,Bitter,2.44,Low,Wine,No,Monthly,233.24,Both,Social,High,Expensive,4.2
45.0,Gen X,Male,44.49,Professional,2.0,Other,Sweet,1.89,Medium,Cider,Yes,Monthly,378.22,Both,Daily Habit,Medium,Location,3.3
42.0,Gen X,Female,68.81,Student,2.0,Social Event,Salty,1.3,Low,Cider,No,Monthly,741.78,Offline,Celebration,High,Location,3.6
33.0,Millennial,Female,59.92,Professional,1.0,Restaurant,Neutral,0.89,Medium,Beer,No,Monthly,372.7,Online,Social,Medium,Location,4.2
39.0,Millennial,Female,50.89,Entrepreneur,1.0,Restaurant,Sour,1.21,High,Wine,Maybe,Monthly,1548.4373277002805,Offline,Social,Low,No Problems,5.0
56.0,Gen X,Male,53.83,Student,4.0,Restaurant,Neutral,0.84,High,Beer,Yes,Weekly,695.73,Offline,Social,Low,Location,3.4
